,videoID,title,views,likes,favorites,comments,country,city,positive
130,Or0JwJRpjqg,"Which Country Do You HATE The Most? | KADIKOY, TURKEY",92811,2118,0,2077,Turkey,Kadikoy,False
131,P1cABa7Mras,Which Country Do You HATE The Most? | IRAQ,729260,20415,0,10610,Iraq,,False
132,obxezel0jgw,Which Country Do You HATE The Most? | LITHUANIA,426297,7895,0,3223,Lithuania,,False
133,WlqUqNphYy4,Which Country Do You HATE The Most? | BOSNIA,948747,16537,0,6067,Bosnia,,False
134,dVWjjRR9Z64,Which Country Do You HATE The Most? | EGYPT,574548,10769,0,9461,Egypt,,False
135,lqukUlXgVLs,Which Country Do You HATE The Most? | SUDAN,154161,3461,0,2607,Sudan,,False
136,ifV7bPIU2Ns,Which Country Do You HATE The Most? | SOUTH SUDAN,333021,6861,0,2608,South Sudan,,False
137,CxltPJcrHoQ,Which Country Do You HATE The Most? | KENYA,143571,2783,0,2482,Kenya,,False
138,HTf7ehXTfRI,Which Country Do You HATE The Most? | HUNGARY,887994,12813,0,6395,Hungary,,False
139,6n8aI-QQVlE,Which Country Do You HATE The Most? | NORWAY,708960,10832,0,5835,Norway,,False
140,D_euxcifBPs,Which Country Do You HATE The Most? | LUXEMBOURG,91657,1868,0,685,Luxembourg,,False
141,RbgCcWKOgrQ,Which Country Do You HATE The Most? | SWITZERLAND,286334,5439,0,1574,Switzerland,,False
142,9cWwkxoaJpk,Which Country Do You HATE The Most? | São Tomé and Príncipe,34940,926,0,487,São Tomé And Príncipe,,False
143,tyL1XkQGIi4,Which Country Do You HATE The Most? | CAMEROON,45324,1149,0,728,Cameroon,,False
144,A0az-CXP4r8,Which Country Do You HATE The Most? | GABON,26382,637,0,326,Gabon,,False
145,zmSRnfdYwXc,Which Country Do You HATE The Most? | BURUNDI,58263,1061,0,405,Burundi,,False
146,N8DbXaZIVcI,Which Country Do You HATE The Most? | DR Congo 🇨🇩,16870,491,0,228,Dr Congo 🇨🇩,,False
147,zDfZshW-0x0,Which Country Do You HATE The Most? | BENIN,15212,451,0,282,Benin,,False
148,Q0LUG3hZEy4,Which Country Do You HATE The Most? | NIGER,68283,1352,0,426,Niger,,False
149,0WVPSs7nXfs,Which Country Do You HATE The Most? | CONGO 🇨🇬,23958,788,0,330,Congo 🇨🇬,,False
150,kLLVCi7SldY,Which Country Do You HATE The Most? | UAE,166007,3250,0,1201,Uae,,False
151,RdiJj6yPyZ0,Which Country Do You HATE The Most? | YEMEN,937359,15343,0,4291,Yemen,,False
152,uMnZoVnBpwE,Which Country Do You HATE The Most? | JORDAN,52081,1195,0,1114,Jordan,,False
153,OzpoTfQTJ0g,Which Country Do You HATE The Most? | BIGGEST TRAVELERS,25155,731,0,260,Biggest Travelers,,False
154,jFDjL3uNGaE,Which Country Do You HATE The Most? | IRAQI KURDISTAN,224550,4449,0,4904,Iraqi Kurdistan,,False
155,_qrPhtDWvEg,Which Country Do You HATE The Most? | MAURITANIA,73405,1822,0,836,Mauritania,,False
156,pp9jcGSNay8,Which Country Do You HATE The Most? | SLOVAKIA,188963,3599,0,1501,Slovakia,,False
157,0t9-g2uz22E,Which Country Do You HATE The Most? | NIGERIA,77550,1644,0,1162,Nigeria,,False
158,rptWfZk3_BA,Which Country Do You HATE The Most? | AZERBAIJAN,452049,8477,0,5072,Azerbaijan,,False
159,GJBziDrxEOI,Which Country Do You HATE The Most? | MAURITIUS,132382,1731,0,1089,Mauritius,,False
160,0RTNdxBIaAI,Which Country Do You HATE The Most? | SEYCHELLES,71110,1034,0,293,Seychelles,,False
161,Ql-8-Kt76Yo,Which Country Do You HATE The Most? | BANGLADESH,893496,14919,0,22104,Bangladesh,,False
162,EJ7bycDmTio,Which Country Do You HATE The Most? | CENTRAL AFRICAN REPUBLIC 🇨🇫,14381,371,0,213,Central African Republic 🇨🇫,,False
163,iS0VK_9-Pro,Which Country Do You HATE The Most? | COMOROS,18567,343,0,171,Comoros,,False
164,JHEYjb_z4aE,Which Country Do You HATE The Most? | ZANZIBAR,14428,301,0,129,Zanzibar,,False
165,GrgrjpdRfDE,Which Country Do You HATE The Most? | SAINT LUCIA,62902,1051,0,287,Saint Lucia,,False
166,WedNxC4u3ok,Which Country Do You HATE The Most? | TUNISIA,342450,6828,0,5300,Tunisia,,False
167,2G-8dOYWe4I,Which Country Do You HATE The Most? | ETHIOPIA,248774,4092,0,3142,Ethiopia,,False
168,9u-KZ-ixljA,Which Country Do You HATE The Most? | EQUATORIAL GUINEA,85765,1414,0,1003,Equatorial Guinea,,False
169,gQ-KMXLTC0o,Which Country Do You HATE The Most? | CHAD,25548,948,0,350,Chad,,False
170,5D7LgxUsrG4,Which Country Do You HATE The Most? | PERU,54424,1390,0,951,Peru,,False
171,CvKy3q_FONI,Which Country Do You HATE The Most? | CHECHEN REPUBLIC,705929,9770,0,4906,Chechen Republic,,False
172,7FS4SAnnL8o,Which Country Do You HATE The Most? | BOLIVIA,48632,1280,0,1530,Bolivia,,False
173,hHwOq78wf4A,Which Country Do You HATE The Most? | DAGESTAN,292756,4092,0,3520,Dagestan,,False
174,FMiwpJQTYUM,Which Country Do You HATE The Most? | ARMENIA,330746,4523,0,5321,Armenia,,False
175,abS15Ntbhcw,Which Country Do You HATE The Most? | GEORGIA,94543,2443,0,1504,Georgia,,False
176,vdgO0nHY7LY,Which Country Do You HATE The Most? | QATAR 🇶🇦,77823,1524,0,1208,Qatar 🇶🇦,,False
177,lloHgVw06fs,Which Country Do You HATE The Most? | SYRIA,158607,3626,0,3727,Syria,,False
178,msNkxuO5Ei4,Which Country Do You HATE The Most? | LEBANON,173331,2195,0,1814,Lebanon,,False
179,NAiRC-aD2xQ,Which Country Do You HATE The Most? | CHILE,55324,1073,0,1054,Chile,,False
180,mlTvt6SEdMI,Which Country Do You HATE The Most? | ECUADOR,17633,415,0,267,Ecuador,,False
181,p4GuBvK-XMM,Which Country Do You HATE The Most? | Mexico,20452,469,0,677,Mexico,,False
182,KfwE9cIi2W0,Which Country Do You HATE The Most? | MADAGASCAR,15383,358,0,283,Madagascar,,False
183,277N_g17IFg,Which Country Do You HATE The Most? | MONGOLIA,146938,3169,0,2664,Mongolia,,False
184,8nP1CBAFrhw,Which Country Do You HATE The Most? | INDONESIA,182329,3076,0,6799,Indonesia,,False
185,I5UindyOkTE,Which Country Do You HATE The Most? | TIMOR-LESTE,30607,617,0,1076,Timor-Leste,,False
186,Q-f2abgg4NE,Which Country Do You HATE The Most? | PAPUA NEW GUINEA,27932,427,0,506,Papua New Guinea,,False
187,4Z_Sw1oWygc,Which Country Do You HATE The Most? | PHILIPPINES,23560,526,0,979,Philippines,,False
188,1gzpzCPlqGQ,Which Country Do You HATE The Most? | MALAYSIA,38269,591,0,846,Malaysia,,False
189,Nk19ahJe8zI,Which Country Do You HATE The Most? | THAILAND,10718,229,0,312,Thailand,,False
190,veehEDygosU,Which Country Do You HATE The Most? | PALAU,5987,152,0,82,Palau,,False
